Category,Price,Rating,Stock,Discount
,1415,2.381752333,Out of Stock,42
B,8444,2.773898597,,41
,6169,2.703924171,Out of Stock,38
,3540,,Out of Stock,15
,8313,2.71869708,In Stock,16
,2695,3.778066899,Out of Stock,5
C,9809,2.143746644,,8
,7046,1.714077512,In Stock,5
,6235,2.102911271,Out of Stock,
,7534,4.414725463,,
,,1.003102893,Out of Stock,21
,4863,,Out of Stock,
A,5271,,In Stock,45
,947,,,5
,5946,3.660447894,Out of Stock,
,9257,,,
,,4.554561616,In Stock,35
,7479,,Out of Stock,15
,6205,3.644353228,,29
A,1682,,In Stock,45
,918,1.716006583,Out of Stock,34
,2863,2.308269416,In Stock,44
,9692,,In Stock,26
,4917,,Out of Stock,21
,8537,2.95583957,,10
D,5144,3.992799957,Out of Stock,27
,2806,1.074641885,Out of Stock,30
,9585,4.723567029,In Stock,24
,564,,,49
,1036,1.391264797,In Stock,39
,7268,4.137400069,In Stock,35
,2122,1.070220143,,
C,2261,1.154137275,Out of Stock,11
B,722,,,19
,1022,,,1
,5237,4.854664208,,49
,3549,3.218806011,In Stock,1
,9115,1.005714679,,
C,6676,3.54482377,,
,6530,,In Stock,26
,,2.028452658,In Stock,37
,6438,1.607100153,,39
,3471,2.167357133,Out of Stock,5
A,3231,2.648071748,Out of Stock,8
,5674,,,
C,1260,3.628810071,Out of Stock,43
,249,3.090414208,In Stock,26
,8170,4.028107377,Out of Stock,35
,3432,1.39276408,,45
A,2720,3.068155231,In Stock,23
,8925,1.007012317,Out of Stock,20
C,1250,2.805398279,Out of Stock,20
,1903,,Out of Stock,46
D,7139,,,43
C,8596,4.573302123,Out of Stock,35
C,6564,2.35032754,In Stock,49
,2905,,Out of Stock,27
B,6381,4.171780814,Out of Stock,31
,4347,,Out of Stock,41
,291,3.961543721,,39
,562,1.644107625,,3
,614,,Out of Stock,13
B,,,,
,9617,,Out of Stock,
D,5341,,,
,2997,2.941055367,Out of Stock,
,1665,4.860212846,,34
,2577,,Out of Stock,49
A,5778,,In Stock,20
,9697,3.66048393,In Stock,40
,,2.768843803,Out of Stock,45
,1481,1.199776457,,26
,4870,,Out of Stock,2
,7087,4.285811024,In Stock,35
C,3650,,In Stock,37
,3024,,In Stock,16
,328,,Out of Stock,41
,1538,,,41
A,5721,3.578709893,,40
,9329,,In Stock,48
,3568,4.10947182,Out of Stock,11
,7252,,Out of Stock,36
C,9119,2.588949047,In Stock,10
D,8081,3.64653401,In Stock,12
,,3.701078773,In Stock,30
,381,,Out of Stock,21
,1249,2.559763118,In Stock,49
B,6446,3.541790165,Out of Stock,
C,8709,,,19
,5539,1.809605571,Out of Stock,17
C,7288,2.044934517,,15
D,6778,,In Stock,41
,7675,,Out of Stock,1
,9236,,Out of Stock,15
,2705,4.527438671,In Stock,7
D,4246,,Out of Stock,34
,2228,3.189855923,In Stock,23
,7314,4.620648665,,30
D,8737,4.095370532,,41
,3536,,In Stock,13
,5272,,,25
,5113,,Out of Stock,17
,2735,2.920832286,,26
,2432,,Out of Stock,16
,,1.633709633,In Stock,46
,5736,,,14
,3241,4.859328886,,7
D,434,,Out of Stock,6
B,9715,4.55629631,,1
,2666,2.98169699,In Stock,28
C,3215,2.376312444,In Stock,
C,736,,In Stock,12
,4650,1.170523665,Out of Stock,11
C,4392,2.729070979,,13
,535,,,9
,703,1.32945137,Out of Stock,4
,620,,Out of Stock,33
D,4290,,,13
A,8171,2.059080055,Out of Stock,14
,1305,,In Stock,38
,1078,4.705406944,,23
,6285,2.60792692,In Stock,27
,6551,4.246589692,In Stock,5
C,9566,,Out of Stock,1
C,,,Out of Stock,
,9442,2.690726984,In Stock,39
A,1521,,In Stock,29
,1704,2.853594757,In Stock,6
,158,,Out of Stock,12
,231,1.444400305,In Stock,38
D,8041,4.250726268,In Stock,5
A,420,2.663846018,,1
C,7645,,,25
D,5297,3.933676945,In Stock,5
,4636,,,8
C,7341,,,21
B,1971,,,1
,4945,2.236450726,Out of Stock,7
B,3412,,Out of Stock,24
B,2940,2.809246904,,47
,,4.53529067,,31
,3280,,Out of Stock,29
,409,,Out of Stock,16
B,8690,,Out of Stock,1
,9287,4.696252557,,2
,3590,4.099343054,Out of Stock,
D,7644,,Out of Stock,
,2428,,Out of Stock,47
A,5310,3.649176394,Out of Stock,1
,2699,4.340577472,Out of Stock,40
,3341,4.841266709,,44
,7173,1.938883588,,13
B,7293,1.958100921,In Stock,29
,4004,,Out of Stock,31
,6722,2.419346271,In Stock,8
,1328,2.909360251,,27
B,8583,,In Stock,31
B,4461,,In Stock,39
D,4888,,In Stock,2
,9374,3.002856095,,28
,8339,3.918305268,In Stock,41
,7640,,,0
,1700,1.383613505,In Stock,13
,680,,In Stock,18
,2541,3.632204748,,37
,6322,,Out of Stock,
B,6924,4.068935005,In Stock,
B,1103,,,47
C,9686,1.799974012,Out of Stock,19
,8669,4.641905702,Out of Stock,12
,4097,,Out of Stock,34
,8281,,,12
,1832,,In Stock,28
B,3741,,,47
,7054,,Out of Stock,49
,6355,2.764661281,Out of Stock,0
A,1511,2.967568342,Out of Stock,7
,1545,2.14157275,In Stock,29
D,828,2.153464497,Out of Stock,8
D,6483,,,33
,3704,2.93655431,In Stock,1
B,3650,1.455301449,,34
,6354,2.872548994,In Stock,46
,3093,1.103927782,,42
D,8585,,,43
C,9832,4.96709065,Out of Stock,2
A,3726,,In Stock,26
,7030,,Out of Stock,19
,5769,,Out of Stock,18
,2883,2.755392183,Out of Stock,35
,3736,1.027401458,,26
,7702,1.159747579,Out of Stock,21
,4437,,In Stock,8
C,6987,,,
,7648,,In Stock,45
,1670,,,13
B,5335,,Out of Stock,12
A,6117,,In Stock,26
B,1695,3.137216936,In Stock,7
B,4769,3.199256477,,41
,8325,3.749995245,,6
,1804,,In Stock,7
,9951,,In Stock,26
,4828,,In Stock,22
,1698,3.089123168,In Stock,11
C,2571,1.242519642,In Stock,22
,3691,4.799496226,,37
,,,Out of Stock,23
D,6967,2.929478914,In Stock,39
,9148,,,46
A,3701,,In Stock,12
,6867,,,3
C,2610,2.791204242,,10
,7606,3.654227386,In Stock,
,3135,4.594448915,,28
D,5597,3.116135384,In Stock,27
,1839,4.274956661,Out of Stock,16
D,4763,3.972744227,,42
,4219,,In Stock,37
,5608,4.157697337,Out of Stock,6
B,5195,3.689327293,,3
C,2540,,In Stock,40
,6716,1.790399031,In Stock,7
B,3722,,Out of Stock,37
,8682,1.190636338,,47
C,2647,,In Stock,
A,4104,,Out of Stock,39
C,6952,4.511057655,,4
,9928,,In Stock,49
,5712,2.747244805,Out of Stock,45
,251,1.033156305,Out of Stock,44
,3611,1.91573073,,36
,3295,1.537412675,,11
,889,,Out of Stock,45
C,1972,2.247259789,In Stock,10
,5429,4.958336197,In Stock,2
,4415,1.446394207,Out of Stock,45
,6889,,,13
,,,Out of Stock,16
D,2507,,Out of Stock,45
,8945,4.670162361,Out of Stock,11
,6533,1.392323731,In Stock,32
,4318,2.130970062,Out of Stock,
,2173,,Out of Stock,24
,2996,3.397375844,,49
D,521,1.109541284,Out of Stock,30
C,4158,3.256011078,,7
,7314,,,41
,3430,,Out of Stock,27
,,2.28483592,In Stock,28
,5556,,In Stock,1
C,7425,2.326320641,,22
,6689,1.015558285,In Stock,20
,5132,,Out of Stock,43
,5475,,Out of Stock,13
,,,Out of Stock,6
D,8273,4.152618603,,7
,5565,,,47
B,4071,4.201654639,,32
,2269,,,31
,7671,2.062739332,,
B,3472,,Out of Stock,41
,3430,,In Stock,27
,3668,,,20
,,,In Stock,11
,8460,,In Stock,18
,296,,In Stock,11
,3145,1.848307296,In Stock,15
A,3545,,,18
,3688,,In Stock,7
A,7243,,Out of Stock,7
A,5124,1.114378759,In Stock,
,4924,4.904717381,Out of Stock,13
,9157,,,49
,1135,,In Stock,42
,4267,,,19
D,5969,,Out of Stock,17
D,6161,,,39
,7874,3.00732327,Out of Stock,34
,317,,Out of Stock,27
,1557,3.860771351,,15
,571,3.030143278,,37
,8282,4.851657965,Out of Stock,2
,,,In Stock,48
,5219,,,19
,2760,3.705958435,Out of Stock,11
,9501,,Out of Stock,15
,7629,4.411939077,In Stock,3
,6868,3.988162397,,20
,8863,,In Stock,15
C,3465,,Out of Stock,40
A,6319,,Out of Stock,47
,498,4.257966268,In Stock,35
,3452,3.150789248,In Stock,33
,1802,,Out of Stock,
,3066,,Out of Stock,34
,2148,,In Stock,23
D,4943,,,14
,1425,,,25
D,1083,3.285651632,Out of Stock,28
,398,2.128305109,Out of Stock,20
C,4902,3.965778544,Out of Stock,31
,1735,3.508710724,In Stock,20
,7213,,In Stock,7
,284,,,7
D,2655,,In Stock,32
,9029,1.155030549,,
,1690,4.768949678,,11
B,3837,,Out of Stock,18
,6216,1.912289774,In Stock,35
,6135,4.166996242,Out of Stock,40
,5325,2.175326498,Out of Stock,11
D,9569,,Out of Stock,32
,6916,4.332073496,,42
,6993,3.209793824,Out of Stock,40
A,1628,,Out of Stock,11
,7891,2.202289603,In Stock,47
,,,Out of Stock,36
B,9780,,,15
A,8325,,Out of Stock,31
,2570,,Out of Stock,16
,868,,Out of Stock,21
,9303,,Out of Stock,13
,4147,4.341512883,In Stock,21
C,889,,In Stock,26
D,568,4.482026662,,3
C,1466,2.534061332,In Stock,37
,7111,,,
D,,4.923387096,In Stock,42
,8984,2.137580538,In Stock,22
B,5655,,In Stock,41
,,,,45
B,8082,,,2
,,3.368637381,In Stock,9
B,2137,,In Stock,26
B,7731,4.365546102,In Stock,32
A,7539,3.544582893,In Stock,29
C,7340,,In Stock,
,4672,3.331715957,,49
A,7180,,,2
B,4734,2.732656991,Out of Stock,0
C,500,,In Stock,43
B,7257,,In Stock,17
,3867,,,49
,7889,4.731517334,,32
,1028,,,34
D,6690,1.589540663,,5
,2359,4.368024013,In Stock,11
,8785,,In Stock,22
B,5164,,,27
,6036,,,24
D,7147,,Out of Stock,16
C,5707,1.918981049,In Stock,30
D,8421,1.651472186,,4
,1924,,,20
,2642,,Out of Stock,2
,1889,3.081174853,Out of Stock,41
,2328,1.457615723,,26
B,7799,1.677858209,In Stock,21
,3867,,In Stock,26
,1940,1.198293259,Out of Stock,4
B,8282,2.115695884,,25
,8773,,,15
C,6566,,,20
,9346,3.683532001,In Stock,39
C,5961,,Out of Stock,3
D,8933,,,15
,4374,,Out of Stock,21
,,,In Stock,24
,,1.156206866,In Stock,26
,796,,,18
,2302,,Out of Stock,10
,6806,,,18
D,934,4.18691059,,9
,3818,4.698912084,Out of Stock,21
,6281,1.49771807,,43
A,8574,,Out of Stock,
,684,2.334876059,Out of Stock,
D,4304,4.590515556,In Stock,1
A,9221,4.75540302,,17
A,,,,0
D,3740,3.61190053,In Stock,16
D,440,1.003436632,Out of Stock,10
,2352,4.463197134,,37
,1519,,In Stock,15
A,1089,,,32
C,8473,,Out of Stock,19
,1786,,Out of Stock,14
,2993,,Out of Stock,43
,6961,3.525718599,,16
,1167,2.507280422,In Stock,47
C,126,,Out of Stock,23
B,7441,,In Stock,3
D,2242,4.464652126,Out of Stock,24
A,6244,,In Stock,41
,4477,4.066780091,,37
,474,,,3
C,4661,2.102019402,In Stock,19
,3793,2.055446766,In Stock,22
C,5506,,Out of Stock,29
,8437,,,45
D,8699,4.169566883,,30
,187,1.748495446,Out of Stock,36
D,2952,,In Stock,34
C,5754,,In Stock,30
C,6194,1.351879822,Out of Stock,45
,9201,,In Stock,14
,7054,,In Stock,10
,2514,4.578985,,2
,4773,2.786519202,In Stock,27
,6258,,Out of Stock,10
,7028,3.115534583,Out of Stock,34
,4531,,,42
C,1094,,In Stock,48
D,3922,,Out of Stock,
,6942,,,
C,9731,2.183426498,In Stock,12
,4579,,In Stock,
A,1034,,In Stock,
,218,,,25
,7847,4.657849084,Out of Stock,46
D,4565,,Out of Stock,36
,5824,4.146355762,Out of Stock,11
A,4611,4.370481242,,10
,2462,2.914034021,Out of Stock,14
,6129,3.373470882,Out of Stock,31
A,9599,,In Stock,36
,6566,4.55435123,In Stock,24
,5615,2.429237789,,13
D,8075,,,48
,8968,3.898796614,Out of Stock,7
,9714,,Out of Stock,10
,5941,,Out of Stock,38
,3770,,Out of Stock,10
,4221,3.465892988,,32
,8086,,,19
,5672,,,12
,6479,2.819842197,In Stock,32
,4793,2.705174088,In Stock,28
B,9379,1.865337851,,23
,8215,2.29026523,Out of Stock,13
A,,,In Stock,24
D,282,,,23
,4844,3.782875509,Out of Stock,49
B,5638,,In Stock,12
C,8823,1.134856421,Out of Stock,
C,4690,3.915965744,,22
,3475,4.720175685,Out of Stock,6
,4609,,In Stock,5
C,9265,,In Stock,23
C,5724,,Out of Stock,13
,1503,2.869429138,Out of Stock,49
,4119,,In Stock,15
,,,Out of Stock,33
B,3216,,,28
B,4799,,In Stock,41
,3557,,In Stock,44
,3496,1.929425193,,41
B,9572,,Out of Stock,27
,3010,4.341961605,Out of Stock,41
,1121,,Out of Stock,27
D,5950,4.41530557,In Stock,18
,945,4.128949867,In Stock,34
,7711,1.411087368,Out of Stock,19
,1762,2.844827682,In Stock,1
,3321,3.599726302,,
,1839,3.957731685,,39
D,6313,1.552247484,In Stock,10
,2849,1.803500059,Out of Stock,40
,3193,2.390867432,In Stock,
,6483,4.263628413,In Stock,34
D,6433,,In Stock,5
,9519,3.060620619,In Stock,12
,3280,,,25
,4105,,,17
,5258,,Out of Stock,25
,,3.742960558,Out of Stock,27
,9326,,Out of Stock,3
D,8619,,,34
D,6259,,Out of Stock,25
,134,2.305678601,Out of Stock,45
A,7914,,,2
D,9463,,,
D,9295,,In Stock,
A,2838,,Out of Stock,25
,6490,,,10
D,4356,,,38
,1307,,,30
C,7467,4.204570587,,48
,5883,3.543257514,Out of Stock,6
A,1411,2.283845007,In Stock,9
B,9911,,In Stock,3
A,2969,1.016958298,,23
B,2896,,In Stock,8
,604,,Out of Stock,22
D,323,4.157982203,,0
C,1057,,Out of Stock,17
,3965,1.030506535,,22
,1577,,In Stock,14
D,8808,2.53659431,Out of Stock,13
C,2040,3.152110023,In Stock,
,4737,,,
,5750,4.498982061,,13
,1568,4.113798158,,48
B,8260,1.288582686,Out of Stock,16
,6212,,,10
,2186,,Out of Stock,22
,6944,,In Stock,38
A,5343,3.034774508,,20
C,8683,,,39
,4509,2.948336452,In Stock,37
,9631,1.111341497,In Stock,23
B,5904,4.421146603,Out of Stock,31
C,6639,4.534516148,,33
,997,4.437430898,In Stock,37
,387,3.634321673,,17
,7000,4.690735016,In Stock,8
,7579,,Out of Stock,20
C,750,,Out of Stock,33
,8024,2.510680057,,12
,3187,4.317107463,In Stock,20
A,3770,,,38
,5774,4.423889889,In Stock,7
C,6617,3.613701308,In Stock,13
,1249,,,10
A,3986,,Out of Stock,26
,2066,,Out of Stock,42
B,7274,1.905004933,In Stock,7
,4101,,,12
,9418,3.936755414,In Stock,9
,7715,,In Stock,41
,665,,,22
C,,4.726100541,Out of Stock,42
A,8604,3.659524202,Out of Stock,48
B,9122,3.588629928,In Stock,45
,7335,4.972969858,,28
A,6286,4.315610568,,21
C,4815,,Out of Stock,
B,4242,1.240912923,Out of Stock,23
,9513,,,37
,1558,2.126048969,,34
,7381,,Out of Stock,31
,972,4.581309176,,
D,5051,1.441588657,Out of Stock,
B,3003,2.716204723,Out of Stock,7
,778,2.182400374,In Stock,45
B,9470,,Out of Stock,1
A,3534,,In Stock,
,1535,4.637649326,Out of Stock,7
,968,,In Stock,
D,3284,,In Stock,
B,5693,,In Stock,14
D,7759,3.067195483,Out of Stock,39
A,2562,1.1535284,In Stock,35
D,644,,Out of Stock,47
,5212,2.113406457,Out of Stock,42
B,7416,3.170943757,In Stock,34
D,3690,,,4
B,9095,,,18
C,6510,4.308675606,,7
,6262,,In Stock,11
,9639,,In Stock,36
,3471,,,20
,4587,2.712058753,Out of Stock,11
,3620,,In Stock,
,5633,,In Stock,45
,5857,2.672355687,,7
,357,1.476927448,In Stock,21
,3215,1.084174653,Out of Stock,31
,339,3.388199454,,
,7515,,In Stock,1
,7409,,Out of Stock,23
D,9154,4.271334932,Out of Stock,
,8447,,,34
,5141,,In Stock,24
A,4154,,In Stock,48
,3272,3.271867653,,46
,8292,3.73645765,Out of Stock,
,124,,,11
,423,2.107838186,,7
,162,,,36
,3516,,In Stock,10
A,3772,,,19
,1493,3.556768125,Out of Stock,18
D,8222,,Out of Stock,45
D,2511,3.632099332,In Stock,33
,9439,2.651170105,,2
C,9713,4.248103068,Out of Stock,46
,,3.486367013,In Stock,32
,6953,2.535200273,In Stock,48
,3564,,Out of Stock,47
,9035,4.639565427,,18
,8551,,In Stock,20
,3600,,In Stock,6
,6315,,Out of Stock,
,1089,2.449721441,In Stock,6
,2903,,In Stock,15
C,5245,1.148859125,,26
D,789,,Out of Stock,35
,7352,4.390909092,Out of Stock,6
D,6744,,In Stock,39
,8673,,Out of Stock,7
,9147,4.77191822,In Stock,17
D,1669,2.105550917,Out of Stock,46
,1307,,Out of Stock,19
B,2763,3.287226166,,
D,5669,,In Stock,2
,6470,,Out of Stock,47
B,,2.950462833,In Stock,27
,5266,,In Stock,44
,5218,,Out of Stock,30
C,9776,4.100424148,In Stock,13
,4936,3.388590917,,32
,9918,3.048414165,,
A,,4.073024465,In Stock,10
B,8340,2.961243302,Out of Stock,33
D,6886,,Out of Stock,19
,4811,,Out of Stock,22
D,2660,,,5
C,5040,,Out of Stock,16
,8937,3.168626657,In Stock,
,7171,3.564330537,In Stock,31
,2637,,In Stock,13
,2977,4.886014306,In Stock,23
,,,In Stock,46
C,7299,1.181898107,,3
,5654,,In Stock,27
B,7843,4.764716532,Out of Stock,0
,193,3.484824617,Out of Stock,27
,5756,,,11
,4765,,In Stock,37
,1175,3.024834877,Out of Stock,5
,2061,1.493867065,,7
,5123,4.92946508,,20
B,2045,,In Stock,1
,4862,2.383654498,Out of Stock,29
B,9178,4.985115727,,41
,,3.751455104,Out of Stock,22
,3237,,Out of Stock,40
C,4033,1.638581334,,6
,6217,,In Stock,42
,1958,4.694981288,Out of Stock,46
,7051,,,13
,8541,4.579736468,,
,1317,,In Stock,20
,9240,2.637989665,In Stock,40
,810,3.254853508,,45
,7041,,,36
C,7973,3.974919871,Out of Stock,13
,6433,1.596048613,,12
,6966,,In Stock,43
,8449,2.658873199,,39
B,6387,4.806959517,,33
B,7038,3.759453413,Out of Stock,41
D,3418,,,16
,4871,,,28
D,251,,In Stock,3
,7418,,In Stock,43
A,1986,2.413929215,In Stock,17
B,1202,3.248570097,Out of Stock,39
,5946,,Out of Stock,
,6096,3.180236479,Out of Stock,14
,,3.129525112,Out of Stock,45
,5138,1.576842737,Out of Stock,17
,7403,4.395858845,In Stock,22
,9818,,,7
,3848,,In Stock,24
,9984,,In Stock,0
,632,2.24213851,,12
,8098,,Out of Stock,22
A,2408,2.897409883,,44
B,5574,,,21
,8547,1.906573063,Out of Stock,31
,2133,,,
,3044,,Out of Stock,29
C,2501,2.646604879,Out of Stock,22
,2523,,,40
,8454,2.134147382,,36
D,4298,3.559395227,In Stock,40
,2003,,,3
,3757,,In Stock,25
,5397,,In Stock,25
,5153,,In Stock,9
,790,4.674096132,,
,3137,4.976589842,In Stock,39
,7241,,,46
,6029,,,28
,540,1.149366315,In Stock,5
,628,3.298095823,In Stock,28
,6620,1.876627015,,19
,3258,,Out of Stock,24
,8648,1.171016659,Out of Stock,26
,787,3.129012544,Out of Stock,
,3734,3.580740512,Out of Stock,18
,8483,4.602869473,Out of Stock,0
,6472,3.200770016,Out of Stock,15
B,4642,,Out of Stock,26
B,8642,4.002560278,Out of Stock,48
D,255,3.149575415,In Stock,33
,9520,1.979189749,,44
,1127,2.869476572,In Stock,11
,3940,,In Stock,10
C,829,,In Stock,42
,9349,3.652425158,Out of Stock,15
,8679,4.710448317,In Stock,
A,7766,,In Stock,17
,8394,,Out of Stock,34
,891,,,31
,5512,4.987610761,In Stock,29
,7485,4.387702937,,30
,5587,,In Stock,44
B,8643,1.729505833,Out of Stock,12
,9140,,Out of Stock,44
,157,,Out of Stock,24
A,7902,,Out of Stock,24
,8698,4.307085604,,5
A,1316,3.082218888,Out of Stock,24
B,186,1.445798567,,16
,5003,3.814695115,In Stock,30
B,1328,1.187935343,In Stock,44
,8314,,In Stock,11
A,4477,,Out of Stock,12
,8311,,In Stock,28
,6426,,,18
B,9362,1.3077867,In Stock,13
,1718,2.687082325,In Stock,7
B,6379,,,32
,6928,2.333093633,In Stock,
C,4404,1.491863367,Out of Stock,
A,8071,,,12
,523,3.791541491,Out of Stock,15
,4064,3.131949632,Out of Stock,2
,2867,,,44
C,3604,,,7
B,8525,4.440149062,In Stock,35
C,7305,,In Stock,17
,8099,,,10
,4926,,Out of Stock,42
D,,,,38
,7750,2.169501643,Out of Stock,36
,3545,2.622266078,Out of Stock,
,4679,,Out of Stock,7
D,4053,,,
C,6566,,Out of Stock,
C,667,,In Stock,37
D,6477,3.282895973,Out of Stock,
A,1022,4.992002328,In Stock,30
D,4048,3.520451123,,10
C,2033,,In Stock,26
D,5436,,,25
A,1914,,In Stock,9
,1983,,,
B,4862,,Out of Stock,6
,784,,In Stock,42
,7596,,In Stock,4
B,8613,,In Stock,18
A,1789,4.812429208,,38
C,2410,3.020600412,Out of Stock,3
A,7596,2.799564144,In Stock,10
C,5620,,Out of Stock,38
B,2564,1.070741912,Out of Stock,0
,8821,,Out of Stock,17
,1934,2.006068127,,8
A,7615,3.341888371,In Stock,32
B,3614,2.788721981,,
,1151,,Out of Stock,
,8806,3.081901216,,11
,6325,3.47719377,Out of Stock,18
,9001,1.83768181,In Stock,5
,3384,,Out of Stock,26
,9011,,In Stock,35
D,3197,,In Stock,22
A,212,,Out of Stock,37
,6599,,In Stock,45
,,,In Stock,44
,1656,,Out of Stock,47
B,4367,,In Stock,35
,,3.691579128,In Stock,46
D,,4.008435243,Out of Stock,15
,4743,,,19
,3314,,Out of Stock,41
,7324,3.988260713,,2
,7630,,In Stock,20
,6558,,,13
,6258,4.397031714,,16
,3114,,,28
A,223,,In Stock,23
,7538,,,7
,,,In Stock,44
,5604,4.543692172,,2
,5423,4.181258427,Out of Stock,
,,1.393853993,,1
B,1666,4.497136106,In Stock,23
,,3.281209572,In Stock,41
D,8133,2.945173599,,47
A,2173,1.482811755,In Stock,32
B,3343,,,38
,5738,,Out of Stock,38
C,2347,4.459114967,Out of Stock,28
,545,3.228205939,In Stock,
,5000,,,34
,9431,,,44
,2751,,,15
,4986,,Out of Stock,34
,8384,,Out of Stock,
,7136,3.50365568,In Stock,22
,4377,,,2
,3579,3.830460774,In Stock,39
,2268,,In Stock,28
A,9790,1.250023463,In Stock,31
,4791,,In Stock,42
C,5484,,Out of Stock,6
,2675,,In Stock,46
,9067,,In Stock,2
,9933,,,36
,9223,,Out of Stock,43
C,238,,Out of Stock,9
D,,,Out of Stock,15
,7192,3.385554291,In Stock,4
A,,,In Stock,37
A,3108,,Out of Stock,
,1235,1.630222975,,19
,9074,,In Stock,39
,759,1.050254168,In Stock,5
,6328,,,20
,3071,,,46
,7957,1.17897941,,7
,6256,,Out of Stock,
,9058,,,15
,5053,1.738606225,,28
A,3153,4.484748211,,37
,5735,,In Stock,34
B,8453,,In Stock,15
C,7869,1.913117777,In Stock,40
,1014,,Out of Stock,20
B,4660,,In Stock,7
,7231,1.424892934,,10
C,6575,2.448260416,,16
,1964,,Out of Stock,25
,3611,,In Stock,0
C,6139,3.714365385,Out of Stock,13
A,1543,,In Stock,23
A,747,,,1
,7188,3.54198952,,22
A,1812,2.546586866,,39
,6364,2.184547688,,15
,7588,2.273843734,In Stock,5
,8615,1.215586359,Out of Stock,22
,1474,,Out of Stock,
,7165,,In Stock,45
,6782,1.052279568,In Stock,25
A,9042,,In Stock,22
,6840,,In Stock,
,3519,,Out of Stock,9
,8320,3.671253561,Out of Stock,6
,451,1.623219994,In Stock,32
A,1521,1.958172002,In Stock,15
,9768,,,
,4352,,,24
,3375,,Out of Stock,15
,3207,,,43
,7742,2.587259003,In Stock,16
A,,,,34
,772,3.200412441,Out of Stock,13
,6960,3.19927699,In Stock,39
B,8440,4.233513951,,4
,4500,,Out of Stock,23
,8596,,In Stock,45
,9590,,In Stock,44
B,4397,4.098863251,In Stock,13
,744,,In Stock,26
,,2.768665479,In Stock,12
,6127,,Out of Stock,8
,7908,,,0
C,9301,1.385347773,Out of Stock,17
,2858,,,29
D,8571,4.147482153,In Stock,17
B,9699,1.997081459,In Stock,41
,480,,Out of Stock,
,7949,,In Stock,
B,7923,,,33
,2898,,,25
,8240,2.528718725,Out of Stock,16
D,2017,,,5
,174,,In Stock,28
C,9049,,Out of Stock,28
,3643,,In Stock,16
D,1192,1.772850479,,
,4340,2.867764996,Out of Stock,0
C,271,1.387043102,,15
,5729,,,33
,2497,2.720887803,Out of Stock,42
,5140,,,
,6060,,In Stock,6
,2826,,,35
D,1365,,,37
,7243,3.741428322,Out of Stock,45
,892,,Out of Stock,31
C,3284,,In Stock,21
A,3668,2.884610488,In Stock,
,2572,,Out of Stock,23
,6836,,In Stock,28
A,986,2.099192261,In Stock,37
,1753,,Out of Stock,17
,5250,1.993403179,Out of Stock,17
,2797,2.032770987,Out of Stock,27
,2051,,Out of Stock,45
,3481,,,41
,8327,,,
,4099,,Out of Stock,
A,3190,4.955731426,In Stock,31
,6307,3.564522511,Out of Stock,36
,6132,3.46564982,,35
D,248,,,4
,8589,2.857183193,In Stock,19
,9728,,In Stock,22
,3403,,,
A,4039,,,29
B,4119,,In Stock,11
A,5009,,,28
,6142,4.376229068,In Stock,2
,4628,2.974389336,Out of Stock,
,141,,In Stock,15
,4884,,,25
,5286,4.263091606,,45
,6906,,Out of Stock,
C,517,1.272983361,In Stock,
,9291,,Out of Stock,19
,9364,,Out of Stock,
,2295,,Out of Stock,12
A,6229,4.089846408,In Stock,6
,9439,,In Stock,
B,8991,2.102077996,Out of Stock,2
C,8254,,In Stock,39
,5627,3.23175822,In Stock,46
,7289,,In Stock,14
A,943,,Out of Stock,31
,337,,,46
B,4844,,In Stock,43
,458,2.957183552,Out of Stock,15
,5050,,,21
D,3182,3.636535719,Out of Stock,5
,3761,4.854906644,Out of Stock,22
,6986,,In Stock,41
B,5901,,Out of Stock,28
,9799,,,
,6673,4.968787653,In Stock,41
,360,4.525248011,In Stock,46
,4279,2.06373089,In Stock,
,3034,,,31
,5983,,,17
D,5065,,Out of Stock,49
,6735,,In Stock,27
D,9480,2.282681765,In Stock,
,1937,3.171312968,,45
,2048,2.930280425,Out of Stock,38
,3428,4.400024012,,46
,4853,,In Stock,40
B,,4.9564559,,14
C,2548,1.1615293,,2
C,9676,,In Stock,13
C,3252,2.957626141,,35
B,4963,2.631434918,In Stock,35
,9837,4.077143018,Out of Stock,15
,7803,3.538834862,In Stock,0
,2731,,In Stock,39
D,6260,,In Stock,8
,5483,,In Stock,
,5473,3.984919278,,31
C,8063,2.954655793,In Stock,44
,2861,2.366446272,Out of Stock,6
,6186,3.675261507,Out of Stock,46
,2040,3.392246205,,38
,3083,3.154964374,,20
,9633,3.841630932,Out of Stock,41
,1242,3.037537249,,14
,5215,,,22
,,,Out of Stock,1
,,,Out of Stock,15
,8417,,In Stock,9
C,2935,3.282913092,,
,3955,,Out of Stock,40
,6194,1.139402852,Out of Stock,35
A,3144,1.377917757,In Stock,23
,3255,1.866750989,,20
,6541,2.949805247,In Stock,45
,4247,1.145729086,Out of Stock,2
,9171,,In Stock,31
D,2565,2.622165129,,9
A,3673,,,37
,6148,,In Stock,43
D,1140,1.455668819,In Stock,38
A,1853,2.612752561,In Stock,9
,2066,,In Stock,36
,2863,2.94514563,In Stock,40
D,254,4.134695614,In Stock,
,9524,1.858421083,,4
,6996,,Out of Stock,36
,8176,3.515005361,Out of Stock,45
,1537,1.168436341,,22
D,3771,,In Stock,30
